,id,genre,track_name,artist_name,valence,energy,mood_vec,distances
1908,65QiQd4yytULgtiBL7b6ai,funk,Fire,Ohio Players,0.82,0.807,"[0.82, 0.807]",0.5357350091229804
1909,7b8s4Z0abQQ4x4jpct4GjR,funk,Cissy Strut,The Meters,0.709,0.799,"[0.709, 0.799]",0.43575337061232233
1910,5W5FVsgGCe3T9nIMkiXqNo,funk,Sing a Song,"Earth, Wind & Fire",0.969,0.698,"[0.969, 0.698]",0.7143178564196755
1911,3Ho35OJixLg20qshXRgfBs,funk,More Bounce to the Ounce,Zapp,0.839,0.762,"[0.839, 0.762]",0.5696191710256949
1912,74iQ3gahRTOGc19bYadBE3,funk,Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,0.897,0.709,"[0.897, 0.709]",0.6441777704950707
1913,7723JnKU2R15Iv4T7OJrly,funk,Funky Town,Various Artists,0.342,0.63,"[0.342, 0.63]",0.35410874036092355
1914,15Q2Tp792e30i2AfJmGwYz,funk,Let's Do Funk,Strokeland Superband,0.833,0.716,"[0.833, 0.716]",0.5836522937503115
1915,2bAmuf7gFx5ziCMcGYjw2v,funk,Ffun,Con Funk Shun,0.853,0.64,"[0.853, 0.64]",0.6388818357098595
1916,2N6RKUqTjFbEBjFlfHyLJZ,funk,Set Your Mind Free,Ridin' Thumb,0.862,0.787,"[0.862, 0.787]",0.5819965635637379
1917,56zGhoVjHxTQTEn1udEOCb,funk,Fight the Power - Pt. 1 & 2,The Isley Brothers,0.755,0.745,"[0.755, 0.745]",0.5011237372146723
1918,13v3siPyvy5TTEZYmGPPse,funk,Give It To Me Baby,Rick James,0.965,0.727,"[0.965, 0.727]",0.6995262682701773
1919,71tafQXxEtS3T5WsFlhoq2,funk,Rock Me Again & Again & Again & Again & Again & Again - Single Version,Lyn Collins,0.954,0.586,"[0.954, 0.586]",0.7531327904161389
1920,4XsH9zBWPOCdXoH9ZDdS8r,funk,Superfly,Curtis Mayfield,0.748,0.708,"[0.748, 0.708]",0.5137908134640011
1921,2fmMPJb5EzZCx8BcNJvVk4,funk,Low Rider,War,0.99,0.647,"[0.99, 0.647]",0.7548986686966668
1922,0nyrltZrQGAJMBZc1bYvuQ,funk,Get Up Offa That Thing,James Brown,0.8,0.664,"[0.8, 0.664]",0.5813406918494525
1923,6emEzY0U6EGCkbQJZvoAvn,funk,Got To Be Enough,Con Funk Shun,0.977,0.718,"[0.977, 0.718]",0.7139985994384023
1924,3O74zfxMcavmMSfoHk5OZW,funk,A Chance For Peace,Lonnie Liston Smith,0.963,0.691,"[0.963, 0.691]",0.7116635440993166
1925,3h5IJ0EzVpkiaoL174GC3M,funk,Let It Whip,Dazz Band,0.954,0.9,"[0.954, 0.9]",0.6453595896862461
1926,0mLAgHQP1BOkoHhDu622BQ,funk,Get Down On It,Kool & The Gang,0.966,0.646,"[0.966, 0.646]",0.7339434583126958
1927,6HZKlK1mDDBsILMoNNncxL,funk,I Want Your Love,CHIC,0.937,0.723,"[0.937, 0.723]",0.6750770326414608
1928,2k7ysbG2zy03fCZOax5HjJ,funk,The Cisco Kid,War,0.961,0.858,"[0.961, 0.858]",0.6589643389440737
